dt	item_third_cate_name	item_sku_id	gmv	cost_tax	income	grossfit	gross_sales	rebate_amunt_notax	adv_amount	store_fee	deliver_fee	net_profit
2016-04	饮料	1044706	509006.7099999994	481239.0	433611.81086836266	98565.28999999938	60765.98448280134	60510.75213675214	0.0	84131.23835682173	162821.66471645044	-232221.04412679438
2016-04	饮料	1044708	42207.5	42124.5	35926.81777777773	5872.75	12892.757027964099	4948.504273504273	0.0	4289.514155929398	11962.122367657084	-10248.550207258959
2016-04	饮料	1044718	30512.500000000036	30421.439999999922	25887.376389743622	4368.050000000114	3297.4570001127545	3655.5470085470088	0.0	7281.017390455848	11348.764840360836	-18524.241737633147
2016-04	饮料	1044719	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1044730	0.0	0.0	0.0	0.0	-0.4167919090646962	0.0	0.0	0.0	0.0	-0.5467347396035412
2016-04	饮料	1044731	227093.85999999917	201284.7337999997	192155.28532095806	43227.836199999474	36608.38260711916	14887.786324786324	0.0	3350.1802163015227	29884.178426275674	-6822.719282666662
2016-04	饮料	1044732	329353.43000000063	306986.6735000005	273093.05826273403	55789.53650000013	39165.187491621014	28566.478632478633	0.0	9741.707859593473	45847.97998978052	-32297.388820810058
2016-04	饮料	1044733	47004.839999999975	38600.3727	39708.41783511113	8404.467299999975	7163.735075694909	0.0	0.0	423.6504388092643	5878.064656101723	-1336.7766004533478
2016-04	饮料	1044735	1150819.3999999939	1235767.5	973244.8625983014	73404.99999999386	4715.126521608372	135344.52991452994	0.0	136575.78425676742	321787.56198466616	-572009.1048976694
2016-04	饮料	1044736	173677.0	178398.0	148347.537094017	18931.85	25889.946663627357	20216.11111111111	0.0	12332.946772782328	38722.07278621925	-39521.151794952806
2016-04	饮料	1044737	0.0	0.0	0.0	0.0	-7.045374116580369	0.0	0.0	0.0	0.0	-7.045374116580369
2016-04	饮料	1044738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.09399157267899563
2016-04	饮料	1044739	131893.7999999997	132904.80000000045	111841.70196581066	10322.949999999242	17924.233429069303	9687.136752136752	0.0	14682.492900949734	48618.9827261232	-59266.25843049285
2016-04	饮料	1044740	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.032485707634711265
2016-04	饮料	1044741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1044742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.032485707634711265
2016-04	饮料	1044743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1044746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.03248570763471128
2016-04	饮料	1044747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6697464956388361
2016-04	饮料	1044748	0.0	0.0	0.0	0.0	-0.7289076585244003	0.0	0.0	0.0	0.0	-0.8408748601333207
2016-04	饮料	1044749	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1046125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1046131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1069329	59053.839999999975	41705.43709999999	50014.882547726455	17348.402899999986	17113.785303705234	0.0	0.0	8605.468578401506	13765.221837028512	-9279.03539510153
2016-04	饮料	1073094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1073095	0.0	0.0	0.0	0.0	-3.719808298855359	0.0	0.0	0.0	0.0	-3.8877591012687396
2016-04	饮料	1073096	0.0	0.0	0.0	0.0	-0.2749835352035357	0.0	0.0	0.0	0.0	-0.30746924283824695
2016-04	饮料	1073097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1073098	0.0	0.0	0.0	0.0	-0.20623765140265177	0.0	0.0	0.0	0.0	-0.20623765140265177
2016-04	饮料	1073099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
